municipio_cod,municipio_fato,data_fato,ano,tentado_consumado,qtde_vitimas,feriado
315460,RIBEIRAO DAS NEVES,2018-04-13,2018,TENTADO,1,False
316070,SANTOS DUMONT,2018-04-14,2018,CONSUMADO,1,False
310240,ALVORADA DE MINAS,2018-04-15,2018,TENTADO,1,False
317010,UBERABA,2018-04-15,2018,TENTADO,1,False
311660,CLAUDIO,2018-04-16,2018,CONSUMADO,1,False
311750,CONCEICAO DO MATO DENTRO,2018-04-16,2018,CONSUMADO,1,False
316070,SANTOS DUMONT,2018-04-16,2018,CONSUMADO,1,False
314520,NOVA SERRANA,2018-04-17,2018,TENTADO,1,False
315780,SANTA LUZIA,2018-04-17,2018,TENTADO,1,False
312770,GOVERNADOR VALADARES,2018-04-18,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-04-19,2018,TENTADO,1,False
311860,CONTAGEM,2018-04-19,2018,TENTADO,1,False
311110,CAMPINA VERDE,2018-04-20,2018,CONSUMADO,1,False
315920,SANTA RITA DE CALDAS,2018-04-20,2018,CONSUMADO,1,False
312090,CURVELO,2018-04-21,2018,TENTADO,1,True
311860,CONTAGEM,2018-04-22,2018,TENTADO,1,False
312090,CURVELO,2018-04-23,2018,CONSUMADO,1,False
313130,IPATINGA,2018-04-24,2018,TENTADO,1,False
315760,SANTA FE DE MINAS,2018-04-25,2018,TENTADO,1,False
313510,JANAUBA,2018-04-27,2018,TENTADO,1,False
317020,UBERLANDIA,2018-04-29,2018,TENTADO,1,False
317120,VESPASIANO,2018-04-29,2018,TENTADO,1,False
316420,SAO ROMAO,2018-04-30,2018,CONSUMADO,1,False
313960,MANTENA,2018-05-03,2018,CONSUMADO,1,False
310620,BELO HORIZONTE,2018-05-06,2018,TENTADO,1,False
314710,PARA DE MINAS,2018-05-06,2018,TENTADO,1,False
314860,PECANHA,2018-05-06,2018,CONSUMADO,1,False
316720,SETE LAGOAS,2018-05-06,2018,CONSUMADO,1,False
310620,BELO HORIZONTE,2018-05-08,2018,TENTADO,1,False
314700,PARACATU,2018-05-10,2018,TENTADO,1,False
317120,VESPASIANO,2018-05-10,2018,TENTADO,1,False
310160,ALFENAS,2018-05-11,2018,CONSUMADO,1,False
311680,COLUNA,2018-05-12,2018,TENTADO,1,False
315895,SANTANA DO PARAISO,2018-05-13,2018,CONSUMADO,1,False
311860,CONTAGEM,2018-05-15,2018,TENTADO,1,False
314100,MATO VERDE,2018-05-15,2018,TENTADO,1,False
311860,CONTAGEM,2018-05-15,2018,CONSUMADO,1,False
310620,BELO HORIZONTE,2018-05-16,2018,TENTADO,1,False
311860,CONTAGEM,2018-05-16,2018,CONSUMADO,1,False
313820,LAVRAS,2018-05-17,2018,CONSUMADO,1,False
314180,MINAS NOVAS,2018-05-17,2018,CONSUMADO,1,False
310620,BELO HORIZONTE,2018-05-18,2018,CONSUMADO,1,False
314800,PATOS DE MINAS,2018-05-20,2018,TENTADO,1,False
317020,UBERLANDIA,2018-05-20,2018,TENTADO,1,False
315630,RODEIRO,2018-05-20,2018,CONSUMADO,1,False
315600,RIO VERMELHO,2018-05-21,2018,TENTADO,1,False
316130,SAO FRANCISCO DE SALES,2018-05-23,2018,TENTADO,1,False
312770,GOVERNADOR VALADARES,2018-05-24,2018,TENTADO,1,False
311420,CARMO DO CAJURU,2018-05-24,2018,CONSUMADO,1,False
317200,VISCONDE DO RIO BRANCO,2018-05-25,2018,CONSUMADO,1,False
310620,BELO HORIZONTE,2018-05-26,2018,TENTADO,1,False
313270,ITAMBACURI,2018-05-30,2018,TENTADO,1,False
312770,GOVERNADOR VALADARES,2018-05-31,2018,TENTADO,1,False
313180,ITABIRINHA,2018-05-31,2018,TENTADO,1,False
317200,VISCONDE DO RIO BRANCO,2018-06-01,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-06-06,2018,TENTADO,1,False
